review_text,overall_rating
"Suporte muito bom. Veio com varias opções de fixação e aguenta TV’s grandes. Valeu super a pena. Fácil instalação, seguindo vídeo explicativo.",5
"livro muito bom, explica  como interagir com os bebês numa fase fundamental da vida, principalmente quando os bebês ficam longe dos pais, quando estes estão no trabalho..",5
"O aparelho é bom, mas os produtos que o acompanham são fracos , Por exemplo Fone e Carregador. OBS: a câmera não é das melhores, mas se comparado ao preço do produto vale a pena.",3
Não veio como o combinado. Veio outra imagem. Não recomendo.,1
"Tive um LG K10 anteriormente e gostava muito do aparelho, porém fui roubado na parada LGBT de BH e acabei tendo que me contentar com um Motorola C Plus, que era horrível. Depois consegui juntar dinheiro e aproveitei para comprar o Q6. A tela é muito nítida, as bordas arredondadas dão um aspecto lindo ao aparelho e tudo funciona sem travamentos. Porém fui roubado de novo. Aí agora comprei um Q6 Plus com uma promoção da VIVO e estou apaixonado novamente. A LG é a única marca que me atende hoje em dia. O design da Motorola deixa a desejar e trava muito, acho os aparelhos pesados e gordos. A Samsung tem um material frágil e de aspecto barato. Zenphone está até legalzinho, mas ainda não confio em chineses. O Q6+ está me agradando muito. O preço condiz com o produto. Recomendo!",5
Minha sobrinha adorou e em dois dias já estava no meio do livro!!!,5
"o preço está correto?? R$ 10.000,00 ou 10x de R$ 1.000,00.",1
"O produto é bom, recomendo, bom de tamanho, não toma muito espaço.",3
"O celular chegou muito rápido, tem ótimo desempenho e custo-benefício.",5
"Bonito, robusto, facil de limpar, extremamente decorativo.",5
"Gostei do produto. Comprei pra dar de presente para minha sobrinha. Fiquei feliz, a entrega foi feita antes do previsto. O produto é resistente. Atendeu as minhas expectativas.",4
"Há uma pequena diferença na qualidade no material do caderno produzido aqui e o importado (que é encontrado com certa facilidade até). Mas isso não torna o produto ruim, pois é muito superior a quase todos e com um ótimo preço.",4
"Amei o produto, super  recomendo! Chegou muito rápido.",5
"Simplesmente péssimo.  Muito instável. É anunciado com várias funcionalidades, mas para que ele fique utilizável, você tem que desabilitar tudo.  A porta USB dele é simplesmente uma lástima. Compartilhamento muito instável também.  Já está na última versão de firmware.  Por essa faixa de preço, prefira uma marca mais conceituada, como a Linksys ou a D-Link.  Fujam de TP-Link.",1
Chegou super rápido. Já usei algumas vezes e funciona muito bem!,4
EXCELENTE COMPRA E A ENTREGA FOI ULTRA RÁPIDA. PARABÉNS AMERICANAS.,5
Bom dia! Minha experiência a princípio foi frustante pois o cartão veio corrompido. Porém o pronto atendimento da empresa ao trocar o produto valeu muito a pena!,4
Excelente qualidade útil bonito potente seguro e prático,5
"Braçadeira tamanho grande, cabe qualquer celular. Produto parece ser de boa qualidade, sem contar que tem um baixo valor.",3
"Muito prático, leve, não escorrega , gostei bastante, fácil manuseio, pode levar pra qualquer cômodo da casa sem carregar o balde pois ele tem rodinhas, no inverno é melhor ainda pois vc não tem contato com a água e o pano, sua mão não estraga, suas unhas não quebram, muito bom mesmo.",4
"hoje ta fazendo 20 dias de uso, tô gostando muito !!!!!!!!! recomento este produto",5
Não recebi produto ainda quase um mês esperando não recomendo.,1
"Estou decepcionada! Precisava do lustre com urgencia, e chegou uma cor literalmente diferente a foto! Ele é mais pra um rosê e não é transparente com na foto! Arrasada!",1
"Amei o perfume! É marcante, fixação muito boa e dura muito na pele. Produto original!",5
Paguei à vista e não recebi nem a cama nem o valor pago. Recebi uma mensagem de que a transportadora não entrega na minha localidade. Não consigo falar com ninguém. Deixei de ser cliente fiel.,1
Meu problema com lençol escapando acabou!!!! É só prender corretamente e ele funciona mesmo! Gostei do produto e recomendo.,3
"Excelente produto, inclusive bem facil o de usar por crianças!",5
"Produto chegou em boas condições, cumpre com as descrições, em perfeito funcionamento.",5
"Possui um bom material, mas a televisão fica bem torta quando colocada na posição lateral.  O problema é que o braço de sustentação já vem torto de fábrica, é necessário mudar o design do produto. Possui um custo elevado, para apresentar esse tipo de defeito. Eu tentaria outro produto...",2
"TV Kinder ovo, compre e veja quantas polegas tem kkkk pq no site não diz",5
"Muito bom ! Vem completo todos os gears. Encarte luxo e até adesivo vem na caixa . Edição colecionador, pode comprar sem medo.",5
"O produto é eficiente, porém não vem com tomada, então se não for instalado por um eletricista ou alguém conhecimentos técnicos ficará difícil a utilização. No mais eu recomento sim!! luz muito bonita. Me atendeu, estou satisfeito.",4
"Utilizei o carregador por 3 dias apenas e ele simplesmente parou de funcionar. Muito ruim, dinheiro jogado fora.",1
Espero que a loja americanas me envie a minha mercadoria o mais breve possível.,1
"Ótimo produto, recomendo a compra O cabelo fica ótimo",5
"O produto é bom, mas não possui um dosador, por isso, acho que acabamos colocando além do necessário e com isso gastando muito. Estava acostumada a usar o finish em barra, mas esse tbm faz a limpeza de igual forma.",3
Tiveram a ousadia de enviar o produto com a tábua deteriorada! (Esfarelando) Só não vou devolver por ser um valor baixo.,1
"Ótimo exatamente o que eu queria optei em retirada  Loja Americanas ,chegou muito antes do previsto eu Super Recomendo este liquidificador sem contar que ele é LINDO... MUITO BOM E BATE AS FRUTAS SEM DEIXAR PEDACINHOS ....MARAVILHOS PODEM APOSTAR !",5
"Produto de excelente qualidade, atendeu todas minhas expectativas. Cliente prontificado a cumprir com o prazo estipulado.",5
ELE NÃO GELA A ÁGUA. SÓ SAI ÁGUA NATURAL. GOSTARIA DE SABER SE POSSO TROCAR. O QUE FAÇO. QUERIA SABER POR QUE ESTÁ ESCRITO QUE SAI ÁGUA GELADA MAS NÃO SAI?,2
"O brinquedo é ótimo de boa qualidade,super indico para dar de presente!",5
"Produto com preço bem barato, só espero não ter problemas com instalação",2
Excelência na entrega e foi muito bom o atendimento da americanas.com,4
"Produto bom, porém sem cuidados (chegou com uma  das peças lascadas).",2
"muito bom de comunicação, chega antes do prazo e em perfeitas condições.",4
"Produto muito bom, mas as formas quadrada e retangular são muito pequenas.",4
"Aparelho muito bom, entrega rapida. economico. produto veio muito bem embalado.",5
A tampa do liquidificador veio com um enorme arranhado.,3
"precisaria que fosse um pouco mais grosso. Ao delimitar um texto, vc delimita tb seu cliente.",3
Poderia ser mais completo e abordar outras matérias da Língua Portuguesa.,2
"Muito bom, veio em uma semana, entrega bem embalado, aparelho funcionado perfeitamente.",4
"Produto corresponde às minhas expectativas, muito eficaz.",5
Muito bom produto de boa qualidade e entrega super rápida.,5
"Esta foi a 3a vez que comprei este produto. Fácil de instalar, discreto e qualidade garantida. Só não avalio como excelente devido ao alto custo do refil.",4
Gostei bastante do produto. Já recomendo às minhas amigas,4
"Produto ótimo,   de acordo com o solicitado e em perfeitas condições. Entregue antes do prazo previsto.",4
"Vi algumas avaliações sobre o produto reclamando de lentidão, de falta de gravador de dvd, etc. Para a finalidade que eu comprei o notebook, ele me satisfaz plenamente. Não vou usar jogos nele, nem vou usar programas de design pesados.   Para o que quero: navegar na internet, fazer compras, administrar minhas contas bancárias, ele é bem rápido e seguro. Gostei muito.",5
Produto muito bom recomendo a todos os interessados,4
A princípio não a queixas pois estou me adaptando o uso do mesmo. No momento a aviação boa gostei do produto.,3
Parabéns pela agilidade na entrega e qualidade no produto .,5
"Gostei, atendeu as minhas expectativas. São bonitas, fácil de limpar.",4
"O PRODUTO É DIFERENTE DO ORIGINAL. O cone de engate e maior, tive que usar uma arroela para dar aperto.",1
"Falarei sobre as cores da tinta:  A cor preta, atende muito bem, a impressão ficou ótima. As outras cores ficaram com pouca vida, ou seja, muito fraca ,ou muito diluída. Obs: precisa melhorar a intensidade das cores.   Att:",2
Ótimo peoduto cumpre o que promete usatei sempre e recomendo com certeza,5
Ruído excessivo e o fio fica agarrando durante a movimentação,1
paguei pelo produto a vista e não o recebi até o momento.  muito decepcionado com essa compra,1
"Pratico, muito bem acabado, design super moderno, eu recomendo",5
muito prático e confiável comprar com americanas.com,4
MUITO bom gostei muito.entrega muito rápida e eficaz era o que eu esperava.parabens a loja.,4
Ainda não recebi o produto  Não recebi o produto  Dffgghhhhjjjkk,1
"Boa qualidade, é exatamente o que vi no aplicativo. Entrega rápida, foi entregue antes do prazo. Apesar de eu ter encontrado preços melhores depois de ter fechado o pedido, o preço estava razoável.",4
Tamanho ideal para família pequena. Bonita e ótimo custo benefício.,4
JA PEDI A TROCA OU DEVOLUÇÃO DO MEU DINHEIRO DESSE PRODUTO SÓ QUE NINGUÉM DESSA LOJA ME DAR UMA POSIÇÃO. GOSTARIA QUE TOMASSEM PROVIDÊNCIA,1
"Gostei do ventilador de mesa 30 cm 127V eco preto ventisol, chegou à minha casa antes do prazo e em boas condições.",3
O produto tem um ótimo custo beneficio!! Funciona muito bem e atendeu as minhas expectativas.,5
"Funciona muito bem adorei! Recomendo total, funciona perfeitamente exceto pelo fato de ter muito fio pois quem não usa com o fio longo é um pequeno problema só isso",5
"Comprem! Maravilhoooosooo, ARROZ NAO GRUDAAA !!! Qualidade TOP!!",5
Sempre compro está marca pq é aquela que melhor se adapta ao corpo dele. São bem absorventes tb,4
vcs poderia dar mais cupus de descontos pra quem compra mais ou vale compra pra ser aceito em qlq produto  eu mesmo compro muito de voces  grato romualdo,3
muito boa as panelas e um material antiaderente e muito bonito,5
