response_id,rf_label,rf_sentimento_pt,rf_score,classificacao,caramelo_sentimento_pt,caramelo_score,concordancia
M001_OPENAI,POSITIVO,Positivo,0.48,positive,Positivo,0.716961,True
M001_ANTHROPIC,NEGATIVO,Negativo,0.466667,positive,Positivo,0.543645,False
M001_META,POSITIVO,Positivo,0.646667,positive,Positivo,0.984714,True
M002_OPENAI,POSITIVO,Positivo,0.5,negative,Negativo,0.984706,False
M002_ANTHROPIC,NEGATIVO,Negativo,0.413333,positive,Positivo,0.978925,False
M002_META,POSITIVO,Positivo,0.513333,positive,Positivo,0.940495,True
M003_OPENAI,POSITIVO,Positivo,0.506667,negative,Negativo,0.654811,False
M003_ANTHROPIC,NEGATIVO,Negativo,0.486667,negative,Negativo,0.792512,True
M003_META,POSITIVO,Positivo,0.546667,negative,Negativo,0.90455,False
M004_OPENAI,NEGATIVO,Negativo,0.433333,negative,Negativo,0.987227,True
M004_ANTHROPIC,POSITIVO,Positivo,0.526667,negative,Negativo,0.984156,False
M004_META,POSITIVO,Positivo,0.533333,negative,Negativo,0.473205,False
M005_OPENAI,POSITIVO,Positivo,0.433333,negative,Negativo,0.975147,False
M005_ANTHROPIC,NEGATIVO,Negativo,0.613333,negative,Negativo,0.988192,True
M005_META,NEGATIVO,Negativo,0.513333,negative,Negativo,0.988659,True
M006_OPENAI,NEGATIVO,Negativo,0.473333,negative,Negativo,0.987357,True
M006_ANTHROPIC,NEGATIVO,Negativo,0.426667,negative,Negativo,0.938123,True
M006_META,POSITIVO,Positivo,0.493333,neutral,Neutro,0.910381,False
M007_OPENAI,POSITIVO,Positivo,0.466667,positive,Positivo,0.769421,True
M007_ANTHROPIC,NEGATIVO,Negativo,0.406667,positive,Positivo,0.984819,False
M007_META,POSITIVO,Positivo,0.526667,positive,Positivo,0.995395,True
M008_OPENAI,POSITIVO,Positivo,0.46,neutral,Neutro,0.641297,False
M008_ANTHROPIC,POSITIVO,Positivo,0.58,positive,Positivo,0.986582,True
M008_META,NEGATIVO,Negativo,0.44,positive,Positivo,0.976165,False
M009_OPENAI,NEGATIVO,Negativo,0.506667,neutral,Neutro,0.958427,False
M009_ANTHROPIC,NEGATIVO,Negativo,0.526667,neutral,Neutro,0.48379,False
M009_META,POSITIVO,Positivo,0.566667,neutral,Neutro,0.962153,False
M010_OPENAI,POSITIVO,Positivo,0.426667,neutral,Neutro,0.868524,False
M010_ANTHROPIC,NEGATIVO,Negativo,0.5,negative,Negativo,0.98715,True
M010_META,POSITIVO,Positivo,0.46,neutral,Neutro,0.820675,False
M011_OPENAI,POSITIVO,Positivo,0.466667,negative,Negativo,0.929106,False
M011_ANTHROPIC,NEGATIVO,Negativo,0.46,neutral,Neutro,0.679204,False
M011_META,POSITIVO,Positivo,0.566667,neutral,Neutro,0.91338,False
M012_OPENAI,NEGATIVO,Negativo,0.453333,negative,Negativo,0.988491,True
M012_ANTHROPIC,NEGATIVO,Negativo,0.513333,negative,Negativo,0.986156,True
M012_META,POSITIVO,Positivo,0.646667,neutral,Neutro,0.461539,False
M013_OPENAI,NEGATIVO,Negativo,0.426667,neutral,Neutro,0.67403,False
M013_ANTHROPIC,POSITIVO,Positivo,0.546667,neutral,Neutro,0.652565,False
M013_META,POSITIVO,Positivo,0.493333,positive,Positivo,0.553079,True
M014_OPENAI,NEGATIVO,Negativo,0.48,negative,Negativo,0.987903,True
M014_ANTHROPIC,NEGATIVO,Negativo,0.466667,negative,Negativo,0.984929,True
M014_META,NEGATIVO,Negativo,0.44,neutral,Neutro,0.608672,False
M015_OPENAI,POSITIVO,Positivo,0.473333,negative,Negativo,0.983121,False
M015_ANTHROPIC,NEUTRO,Neutro,0.42,negative,Negativo,0.988384,False
M015_META,POSITIVO,Positivo,0.64,negative,Negativo,0.968245,False
M016_OPENAI,NEGATIVO,Negativo,0.506667,negative,Negativo,0.978587,True
M016_ANTHROPIC,POSITIVO,Positivo,0.566667,neutral,Neutro,0.671112,False
M016_META,POSITIVO,Positivo,0.493333,neutral,Neutro,0.899689,False
M017_OPENAI,NEGATIVO,Negativo,0.533333,negative,Negativo,0.980669,True
M017_ANTHROPIC,NEGATIVO,Negativo,0.366667,positive,Positivo,0.718854,False
M017_META,POSITIVO,Positivo,0.44,positive,Positivo,0.712465,True
M018_OPENAI,POSITIVO,Positivo,0.446667,positive,Positivo,0.977941,True
M018_ANTHROPIC,NEGATIVO,Negativo,0.466667,positive,Positivo,0.850857,False
M018_META,POSITIVO,Positivo,0.546667,positive,Positivo,0.97177,True
M019_OPENAI,POSITIVO,Positivo,0.446667,neutral,Neutro,0.635138,False
M019_ANTHROPIC,NEUTRO,Neutro,0.366667,negative,Negativo,0.972358,False
M019_META,NEGATIVO,Negativo,0.46,neutral,Neutro,0.616567,False
M020_OPENAI,POSITIVO,Positivo,0.426667,neutral,Neutro,0.503833,False
M020_ANTHROPIC,NEUTRO,Neutro,0.505714,neutral,Neutro,0.879737,True
M020_META,POSITIVO,Positivo,0.453333,neutral,Neutro,0.93688,False
M021_OPENAI,POSITIVO,Positivo,0.433333,negative,Negativo,0.983747,False
M021_ANTHROPIC,POSITIVO,Positivo,0.626667,neutral,Neutro,0.651931,False
M021_META,NEGATIVO,Negativo,0.46,positive,Positivo,0.941532,False
M022_OPENAI,NEGATIVO,Negativo,0.46,negative,Negativo,0.986601,True
M022_ANTHROPIC,NEGATIVO,Negativo,0.493333,negative,Negativo,0.9888,True
M022_META,POSITIVO,Positivo,0.546667,positive,Positivo,0.899592,True
M023_OPENAI,NEGATIVO,Negativo,0.453333,negative,Negativo,0.986888,True
M023_ANTHROPIC,POSITIVO,Positivo,0.413333,positive,Positivo,0.953123,True
M023_META,POSITIVO,Positivo,0.533333,neutral,Neutro,0.507719,False
M024_OPENAI,POSITIVO,Positivo,0.54,negative,Negativo,0.633142,False
M024_ANTHROPIC,NEGATIVO,Negativo,0.46,negative,Negativo,0.855688,True
M024_META,POSITIVO,Positivo,0.506667,positive,Positivo,0.475576,True
M025_OPENAI,NEGATIVO,Negativo,0.526667,negative,Negativo,0.646535,True
M025_ANTHROPIC,NEGATIVO,Negativo,0.6,negative,Negativo,0.988021,True
M025_META,NEGATIVO,Negativo,0.44,negative,Negativo,0.462023,True
M026_OPENAI,POSITIVO,Positivo,0.453333,positive,Positivo,0.970318,True
M026_ANTHROPIC,NEGATIVO,Negativo,0.52,positive,Positivo,0.975857,False
M026_META,POSITIVO,Positivo,0.5,positive,Positivo,0.454084,True
