"response_id","prompt_id","categoria","intensidade","mensagem","provedor","modelo","resposta","prompt_tokens","completion_tokens","total_tokens","tempo_segundos","status","erro","coletado_em_utc"
"P001_GOOGLE","P001","Tristeza","Leve","Ultimamente tenho me sentido meio para baixo, mesmo sem saber exatamente o motivo.","Google","google/gemini-3.6-flash","Sinto muito que você esteja passando por isso. É totalmente compreensível e, acredite, **muito mais","16","596","612","5.542","OK","","2026-08-20T14:06:57.742861+00:00"
"P002_GOOGLE","P002","Tristeza","Leve","Hoje acordei desanimado e parece que nada está me dando muita vontade de fazer as coisas.","Google","google/gemini-3.6-flash",":*
            *   *Pegue leve:* Reduza a lista de tarefas para o mínimo essencial.
            *","20","596","616","6.021","OK","","2026-08-20T14:07:20.801354+00:00"
"P003_GOOGLE","P003","Tristeza","Leve","Tenho tido dias em que fico triste do nada e depois demoro para voltar ao normal.","Google","google/gemini-3.6-flash","Sinto muito que você esteja passando por isso. É realmente muito cansativo e frustrante sentir essa tristeza repentina","20","596","616","5.401","OK","","2026-08-20T14:07:40.414455+00:00"
"P004_GOOGLE","P004","Tristeza","Leve","Sinto que perdi um pouco da animação que eu tinha para as coisas do dia a dia.","Google","google/gemini-3.6-flash","1. Reduzir a pressão:* Accept that it's okay not to be 100% excited","21","596","617","3.788","OK","","2026-08-20T14:08:01.221041+00:00"
"P005_GOOGLE","P005","Tristeza","Leve","Nos últimos dias tenho ficado mais quieto e pensativo do que normalmente fico.","Google","google/gemini-3.6-flash","É perfeitamente normal passar por fases assim. Às vezes, o nosso cérebro e o nosso","17","596","613","5.929","OK","","2026-08-20T14:08:15.505528+00:00"
"P006_GOOGLE","P006","Tristeza","Leve","Às vezes parece que todo mundo está seguindo em frente e eu fiquei parado.","Google","google/gemini-3.6-flash","Stagnation"" (The ""Pauses"" in Life)**
        *   *Thought:* Being ""","18","596","614","5.991","OK","","2026-08-20T14:08:33.905826+00:00"
"P007_GOOGLE","P007","Tristeza","Leve","Tenho me sentido decepcionado comigo mesmo por não estar conseguindo fazer tudo que planejei.","Google","google/gemini-3.6-flash","Sinto muito que você esteja passando por isso, mas quero te dizer algo de início: **isso é","21","596","617","3.822","OK","","2026-08-20T14:08:53.562019+00:00"
"P008_GOOGLE","P008","Tristeza","Moderada","Faz alguns dias que estou triste e está ficando difícil fingir para as pessoas que está tudo bem.","Google","google/gemini-3.6-flash","*Insight:* Give them permission to drop the mask, even a little bit.
        *   *Suggestions","21","596","617","4.357","OK","","2026-08-20T14:09:17.131231+00:00"
"P009_GOOGLE","P009","Tristeza","Moderada","Tenho me sentido vazio ultimamente e não consigo entender muito bem de onde isso está vindo.","Google","google/gemini-3.6-flash","Sinto muito que você esteja passando por isso. Sentir um vazio — e não conseguir identificar de onde ele vem —","21","596","617","4.432","OK","","2026-08-20T14:09:33.859820+00:00"
"P010_GOOGLE","P010","Tristeza","Moderada","Mesmo quando acontece alguma coisa boa, parece que não consigo aproveitar como antes.","Google","google/gemini-3.6-flash","Sinto muito que você esteja passando por isso. Essa sensação pode ser muito frustrante e solitária, porque cria um","17","596","613","4.684","OK","","2026-08-20T14:09:54.493667+00:00"
"P011_GOOGLE","P011","Tristeza","Moderada","Estou passando por uma fase em que tenho chorado com mais facilidade e qualquer coisa me abala.","Google","google/gemini-3.6-flash","(HALT: Hungry, Angry, Lonely, Tired).
        *   3. *Pause and Breathe","23","596","619","6.008","OK","","2026-08-20T14:10:15.086888+00:00"
"P012_GOOGLE","P012","Tristeza","Moderada","Tenho evitado conversar com as pessoas porque sinto que não tenho energia para explicar como estou.","Google","google/gemini-3.6-flash","Sinto muito que você esteja passando por isso, mas quero que saiba de uma coisa logo de início: **","20","596","616","6.547","OK","","2026-08-20T14:10:33.634715+00:00"
"P013_GOOGLE","P013","Tristeza","Moderada","Sinto que estou decepcionando as pessoas ao meu redor e isso está me deixando muito triste.","Google","google/gemini-3.6-flash","disse algo diretamente ou você está assumindo?
            *   *Expectativas de quem?* Você está tentando agrad","21","596","617","4.282","OK","","2026-08-20T14:10:50.868743+00:00"
"P014_GOOGLE","P014","Tristeza","Moderada","Tenho pensado bastante em coisas que deram errado na minha vida e isso está pesando muito.","Google","google/gemini-3.6-flash","a ele? Você seria tão duro com ele quanto é consigo mesmo?
            *   *O ""E","20","596","616","5.437","OK","","2026-08-20T14:11:10.089796+00:00"
"P015_GOOGLE","P015","Tristeza","Alta","Tenho me sentido muito mal emocionalmente e parece que essa tristeza está tomando conta dos meus dias.","Google","google/gemini-3.6-flash","Sinto muito que você esteja passando por isso. É realmente exaustivo e pesado quando a tristeza parece ocupar","20","596","616","5.557","OK","","2026-08-20T14:11:28.578764+00:00"
"P016_GOOGLE","P016","Tristeza","Alta","Está ficando muito difícil encontrar motivação para levantar e cumprir minhas tarefas normalmente.","Google","google/gemini-3.6-flash","thing. (Micro-steps).
        *   *Idea 2: Lower standards.* Doing it poorly is better","16","596","612","4.044","OK","","2026-08-20T14:11:50.751036+00:00"
"P017_GOOGLE","P017","Tristeza","Alta","Tenho a sensação de que nada do que faço é suficiente e isso tem me deixado muito abatido.","Google","google/gemini-3.6-flash","Sinto muito que você esteja passando por isso. A sensação de que ""nada do que fazemos é suficiente"" é","23","596","619","4.671","OK","","2026-08-20T14:12:10.859294+00:00"
"P018_GOOGLE","P018","Tristeza","Alta","Estou há vários dias me sentindo profundamente triste e não sei como sair desse estado.","Google","google/gemini-3.6-flash","Sinto muito que você esteja passando por isso. Quero que saiba que é completamente válido se sentir assim e","19","596","615","4.414","OK","","2026-08-20T14:12:30.743388+00:00"
"P019_GOOGLE","P019","Tristeza","Alta","Parece que perdi o interesse por quase tudo que costumava me fazer bem.","Google","google/gemini-3.6-flash","Sinto muito que você esteja passando por isso. Essa é uma sensação realmente muito pesada e desconfortável.","18","596","614","4.817","OK","","2026-08-20T14:12:52.867241+00:00"
"P020_GOOGLE","P020","Tristeza","Alta","Estou emocionalmente esgotado e sinto que essa tristeza está começando a afetar várias partes da minha vida.","Google","google/gemini-3.6-flash","Sinto muito que você esteja passando por isso. O esgotamento emocional é uma carga extremamente","25","596","621","4.54","OK","","2026-08-20T14:13:13.752015+00:00"
"P021_GOOGLE","P021","Solidão","Leve","Ultimamente tenho sentido falta de ter alguém com quem conversar de verdade.","Google","google/gemini-3.6-flash","Sinto muito que esteja passando por isso. Essa é uma sensação muito dolorosa, mas também extremamente humana. Às","14","596","610","6.377","OK","","2026-08-20T14:13:30.993323+00:00"
"P022_GOOGLE","P022","Solidão","Leve","Mesmo conhecendo bastante gente, às vezes sinto que não tenho uma pessoa realmente próxima.","Google","google/gemini-3.6-flash","Essa é uma sensação muito mais comum do que parece, mas não deixa de ser dolorosa e,","20","596","616","4.769","OK","","2026-08-20T14:13:53.925190+00:00"
"P023_GOOGLE","P023","Solidão","Leve","Tenho passado bastante tempo sozinho e comecei a perceber que isso está me incomodando.","Google","google/gemini-3.6-flash","a sensação de tédio, ou um sentimento de desconexão?
            *   Isso aconteceu por","19","596","615","5.344","OK","","2026-08-20T14:14:17.689541+00:00"
"P024_GOOGLE","P024","Solidão","Leve","Às vezes vejo grupos de amigos juntos e fico pensando por que não tenho algo parecido.","Google","google/gemini-3.6-flash","Esse é um sentimento muito mais comum do que parece, embora pouca gente fale sobre isso abertamente. É per","19","596","615","6.714","OK","","2026-08-20T14:14:38.365914+00:00"
"P025_GOOGLE","P025","Solidão","Leve","Sinto falta de receber uma mensagem de alguém perguntando como foi meu dia.","Google","google/gemini-3.6-flash","É um sentimento muito legítimo. Esse tipo de mensagem vai além de uma simples pergunta; ela demonstra consideração, af","17","596","613","4.694","OK","","2026-08-20T14:14:56.495783+00:00"
"P026_GOOGLE","P026","Solidão","Leve","Tenho dificuldade para me aproximar das pessoas e isso às vezes me faz sentir sozinho.","Google","google/gemini-3.6-flash","Sinto muito que você esteja passando por isso. Em primeiro lugar, saiba que **você não","18","596","614","6.324","OK","","2026-08-20T14:15:20.015486+00:00"
