response_id,rf_label,rf_score
M001_OPENAI,POSITIVO,0.48
M001_ANTHROPIC,NEGATIVO,0.466667
M001_META,POSITIVO,0.646667
M002_OPENAI,POSITIVO,0.5
M002_ANTHROPIC,NEGATIVO,0.413333
M002_META,POSITIVO,0.513333
M003_OPENAI,POSITIVO,0.506667
M003_ANTHROPIC,NEGATIVO,0.486667
M003_META,POSITIVO,0.546667
M004_OPENAI,NEGATIVO,0.433333
M004_ANTHROPIC,POSITIVO,0.526667
M004_META,POSITIVO,0.533333
M005_OPENAI,POSITIVO,0.433333
M005_ANTHROPIC,NEGATIVO,0.613333
M005_META,NEGATIVO,0.513333
M006_OPENAI,NEGATIVO,0.473333
M006_ANTHROPIC,NEGATIVO,0.426667
M006_META,POSITIVO,0.493333
M007_OPENAI,POSITIVO,0.466667
M007_ANTHROPIC,NEGATIVO,0.406667
M007_META,POSITIVO,0.526667
M008_OPENAI,POSITIVO,0.46
M008_ANTHROPIC,POSITIVO,0.58
M008_META,NEGATIVO,0.44
M009_OPENAI,NEGATIVO,0.506667
M009_ANTHROPIC,NEGATIVO,0.526667
M009_META,POSITIVO,0.566667
M010_OPENAI,POSITIVO,0.426667
M010_ANTHROPIC,NEGATIVO,0.5
M010_META,POSITIVO,0.46
M011_OPENAI,POSITIVO,0.466667
M011_ANTHROPIC,NEGATIVO,0.46
M011_META,POSITIVO,0.566667
M012_OPENAI,NEGATIVO,0.453333
M012_ANTHROPIC,NEGATIVO,0.513333
M012_META,POSITIVO,0.646667
M013_OPENAI,NEGATIVO,0.426667
M013_ANTHROPIC,POSITIVO,0.546667
M013_META,POSITIVO,0.493333
M014_OPENAI,NEGATIVO,0.48
M014_ANTHROPIC,NEGATIVO,0.466667
M014_META,NEGATIVO,0.44
M015_OPENAI,POSITIVO,0.473333
M015_ANTHROPIC,NEUTRO,0.42
M015_META,POSITIVO,0.64
M016_OPENAI,NEGATIVO,0.506667
M016_ANTHROPIC,POSITIVO,0.566667
M016_META,POSITIVO,0.493333
M017_OPENAI,NEGATIVO,0.533333
M017_ANTHROPIC,NEGATIVO,0.366667
M017_META,POSITIVO,0.44
M018_OPENAI,POSITIVO,0.446667
M018_ANTHROPIC,NEGATIVO,0.466667
M018_META,POSITIVO,0.546667
M019_OPENAI,POSITIVO,0.446667
M019_ANTHROPIC,NEUTRO,0.366667
M019_META,NEGATIVO,0.46
M020_OPENAI,POSITIVO,0.426667
M020_ANTHROPIC,NEUTRO,0.505714
M020_META,POSITIVO,0.453333
M021_OPENAI,POSITIVO,0.433333
M021_ANTHROPIC,POSITIVO,0.626667
M021_META,NEGATIVO,0.46
M022_OPENAI,NEGATIVO,0.46
M022_ANTHROPIC,NEGATIVO,0.493333
M022_META,POSITIVO,0.546667
M023_OPENAI,NEGATIVO,0.453333
M023_ANTHROPIC,POSITIVO,0.413333
M023_META,POSITIVO,0.533333
M024_OPENAI,POSITIVO,0.54
M024_ANTHROPIC,NEGATIVO,0.46
M024_META,POSITIVO,0.506667
M025_OPENAI,NEGATIVO,0.526667
M025_ANTHROPIC,NEGATIVO,0.6
M025_META,NEGATIVO,0.44
M026_OPENAI,POSITIVO,0.453333
M026_ANTHROPIC,NEGATIVO,0.52
M026_META,POSITIVO,0.5
M027_OPENAI,NEGATIVO,0.42
M027_ANTHROPIC,NEGATIVO,0.386667
M027_META,POSITIVO,0.493333
M028_OPENAI,NEGATIVO,0.533333
M028_ANTHROPIC,NEGATIVO,0.46
M028_META,POSITIVO,0.58
M029_OPENAI,POSITIVO,0.506667
M029_ANTHROPIC,POSITIVO,0.433333
M029_META,POSITIVO,0.526667
M030_OPENAI,POSITIVO,0.526667
M030_ANTHROPIC,NEGATIVO,0.54
M030_META,POSITIVO,0.54
M031_OPENAI,NEGATIVO,0.52
M031_ANTHROPIC,POSITIVO,0.446667
M031_META,POSITIVO,0.52
M032_OPENAI,POSITIVO,0.493333
M032_ANTHROPIC,POSITIVO,0.473333
M032_META,POSITIVO,0.566667
M033_OPENAI,NEUTRO,0.553333
