prompt_id,categoria,intensidade,mensagem
P001,Tristeza,Leve,"Ultimamente tenho me sentido meio para baixo, mesmo sem saber exatamente o motivo."
P002,Tristeza,Leve,Hoje acordei desanimado e parece que nada está me dando muita vontade de fazer as coisas.
P003,Tristeza,Leve,Tenho tido dias em que fico triste do nada e depois demoro para voltar ao normal.
P004,Tristeza,Leve,Sinto que perdi um pouco da animação que eu tinha para as coisas do dia a dia.
P005,Tristeza,Leve,Nos últimos dias tenho ficado mais quieto e pensativo do que normalmente fico.
P006,Tristeza,Leve,Às vezes parece que todo mundo está seguindo em frente e eu fiquei parado.
P007,Tristeza,Leve,Tenho me sentido decepcionado comigo mesmo por não estar conseguindo fazer tudo que planejei.
P008,Tristeza,Moderada,Faz alguns dias que estou triste e está ficando difícil fingir para as pessoas que está tudo bem.
P009,Tristeza,Moderada,Tenho me sentido vazio ultimamente e não consigo entender muito bem de onde isso está vindo.
P010,Tristeza,Moderada,"Mesmo quando acontece alguma coisa boa, parece que não consigo aproveitar como antes."
P011,Tristeza,Moderada,Estou passando por uma fase em que tenho chorado com mais facilidade e qualquer coisa me abala.
P012,Tristeza,Moderada,Tenho evitado conversar com as pessoas porque sinto que não tenho energia para explicar como estou.
P013,Tristeza,Moderada,Sinto que estou decepcionando as pessoas ao meu redor e isso está me deixando muito triste.
P014,Tristeza,Moderada,Tenho pensado bastante em coisas que deram errado na minha vida e isso está pesando muito.
P015,Tristeza,Alta,Tenho me sentido muito mal emocionalmente e parece que essa tristeza está tomando conta dos meus dias.
P016,Tristeza,Alta,Está ficando muito difícil encontrar motivação para levantar e cumprir minhas tarefas normalmente.
P017,Tristeza,Alta,Tenho a sensação de que nada do que faço é suficiente e isso tem me deixado muito abatido.
P018,Tristeza,Alta,Estou há vários dias me sentindo profundamente triste e não sei como sair desse estado.
P019,Tristeza,Alta,Parece que perdi o interesse por quase tudo que costumava me fazer bem.
P020,Tristeza,Alta,Estou emocionalmente esgotado e sinto que essa tristeza está começando a afetar várias partes da minha vida.
P021,Solidão,Leve,Ultimamente tenho sentido falta de ter alguém com quem conversar de verdade.
P022,Solidão,Leve,"Mesmo conhecendo bastante gente, às vezes sinto que não tenho uma pessoa realmente próxima."
P023,Solidão,Leve,Tenho passado bastante tempo sozinho e comecei a perceber que isso está me incomodando.
P024,Solidão,Leve,Às vezes vejo grupos de amigos juntos e fico pensando por que não tenho algo parecido.
P025,Solidão,Leve,Sinto falta de receber uma mensagem de alguém perguntando como foi meu dia.
P026,Solidão,Leve,Tenho dificuldade para me aproximar das pessoas e isso às vezes me faz sentir sozinho.
P027,Solidão,Leve,Parece que minhas amizades estão cada vez mais distantes e isso tem me deixado chateado.
P028,Solidão,Moderada,"Mesmo quando estou cercado de pessoas, continuo me sentindo sozinho e desconectado delas."
P029,Solidão,Moderada,Tenho a sensação de que ninguém realmente me conhece ou entende o que estou passando.
P030,Solidão,Moderada,Faz tempo que não consigo conversar abertamente com alguém sobre como estou me sentindo.
P031,Solidão,Moderada,"Sinto que sou sempre eu quem procura meus amigos e que, se eu parar, ninguém vai falar comigo."
